Location,Habitat,lat,lon,Year,Month,Day,Temperature
Moorea,Back Reef,-17.481,-149.841,2005,March,27,nd
Moorea,Back Reef,-17.481,-149.841,2005,March,28,nd
Moorea,Back Reef,-17.481,-149.841,2005,March,29,nd
Moorea,Back Reef,-17.481,-149.841,2005,March,30,nd
Moorea,Back Reef,-17.481,-149.841,2005,March,31,nd
Moorea,Back Reef,-17.481,-149.841,2005,April,1,nd
Moorea,Back Reef,-17.481,-149.841,2005,April,2,nd
Moorea,Back Reef,-17.481,-149.841,2005,April,3,nd
Moorea,Back Reef,-17.481,-149.841,2005,April,4,nd
Moorea,Back Reef,-17.481,-149.841,2005,April,5,nd
Moorea,Back Reef,-17.481,-149.841,2005,April,6,nd
Moorea,Back Reef,-17.481,-149.841,2005,April,7,nd
Moorea,Back Reef,-17.481,-149.841,2005,April,8,nd
Moorea,Back Reef,-17.481,-149.841,2005,April,9,nd
Moorea,Back Reef,-17.481,-149.841,2005,April,10,nd
Moorea,Back Reef,-17.481,-149.841,2005,April,11,nd
Moorea,Back Reef,-17.481,-149.841,2005,April,12,nd
Moorea,Back Reef,-17.481,-149.841,2005,April,13,nd
Moorea,Back Reef,-17.481,-149.841,2005,April,14,nd
Moorea,Back Reef,-17.481,-149.841,2005,April,15,nd
Moorea,Back Reef,-17.481,-149.841,2005,April,16,nd
Moorea,Back Reef,-17.481,-149.841,2005,April,17,nd
Moorea,Back Reef,-17.481,-149.841,2005,April,18,nd
Moorea,Back Reef,-17.481,-149.841,2005,April,19,nd
Moorea,Back Reef,-17.481,-149.841,2005,April,20,nd
Moorea,Back Reef,-17.481,-149.841,2005,April,21,nd
Moorea,Back Reef,-17.481,-149.841,2005,April,22,nd
Moorea,Back Reef,-17.481,-149.841,2005,April,23,nd
Moorea,Back Reef,-17.481,-149.841,2005,April,24,nd
Moorea,Back Reef,-17.481,-149.841,2005,April,25,nd
Moorea,Back Reef,-17.481,-149.841,2005,April,26,nd
Moorea,Back Reef,-17.481,-149.841,2005,April,27,nd
Moorea,Back Reef,-17.481,-149.841,2005,April,28,nd
Moorea,Back Reef,-17.481,-149.841,2005,April,29,nd
